Date,High_Temp,Low_Temp
2018-10-31,17.5,7.3
2018-11-01,19.9,13.3
2018-11-02,20.4,17.6
2018-11-03,18.9,10.6
2018-11-04,13.5,7.6
2018-11-05,12.1,9.9
2018-11-06,15.7,10.2
2018-11-07,16.3,11.2
2018-11-08,13.9,8.0
2018-11-09,11.4,7.2
2018-11-10,10.5,2.7
2018-11-11,8.2,0.8
2018-11-12,9.2,2.9
2018-11-13,10.3,6.3
2018-11-14,6.1,0.5
2018-11-15,3.7,-0.7
2018-11-16,7.1,1.4
2018-11-17,8.2,3.8
2018-11-18,7.5,4.2
2018-11-19,10.4,6.3
2018-11-20,8.9,4.7
2018-11-21,6.5,-1.5
2018-11-22,-1.8,-7.4
2018-11-23,0.6,-8.7
2018-11-24,9.8,-0.3
2018-11-25,12.9,7.9
2018-11-26,11.5,8.6
2018-11-27,7.1,3.2
2018-11-28,5.1,2.6
2018-11-29,6.9,4.0
2018-11-30,4.8,3.2
2018-12-01,6.8,4.0
2018-12-02,12.7,6.0
2018-12-03,12.3,7.3
2018-12-04,7.4,0.1
2018-12-05,2.4,-1.8
2018-12-06,4.0,-1.1
2018-12-07,3.9,-1.7
2018-12-08,1.7,-3.7
2018-12-09,1.8,-1.5
2018-12-10,4.0,-1.4
2018-12-11,4.3,-1.2
2018-12-12,3.8,0.8
2018-12-13,5.5,1.1
2018-12-14,9.7,5.2
2018-12-15,11.1,8.1
2018-12-16,8.6,2.2
2018-12-17,7.8,3.3
2018-12-18,4.5,-1.9
2018-12-19,5.6,-2.7
2018-12-20,12.1,2.3
2018-12-21,15.0,11.3
2018-12-22,11.1,5.0
2018-12-23,7.1,2.7
2018-12-24,6.1,2.6
2018-12-25,4.5,0.7
2018-12-26,6.3,0.7
2018-12-27,6.5,3.9
2018-12-28,14.7,6.3
2018-12-29,12.4,4.7
2018-12-30,4.2,1.6
2018-12-31,8.2,2.4
2019-01-01,13.9,5.2
2019-01-02,4.6,2.2
2019-01-03,6.2,3.6
2019-01-04,7.4,1.4
2019-01-05,7.6,5.9
2019-01-06,8.7,0.4
2019-01-07,1.3,-3.8
2019-01-08,7.2,1.8
2019-01-09,6.8,1.6
2019-01-10,1.5,-1.7
2019-01-11,-0.8,-6.0
2019-01-12,1.2,-6.3
2019-01-13,1.1,-3.8
2019-01-14,0.5,-5.9
2019-01-15,2.3,-3.0
2019-01-16,3.6,-1.4
2019-01-17,0.9,-4.1
2019-01-18,3.0,-1.2
2019-01-19,3.1,0.4
